name,mission
"
JOSUA STIFTUNG ","
The purpose of the foundation is: A. To maintain Kybun AG, Roggwil TG, Joya Schuh Holding AG, Roggwil TG, Imhotep AG, Roggwil TG, and their sister companies while maintaining their current corporate purpose as an independent company by exercising shareholder rights in such a way that corporate management that is consistently based on biblical principles is guaranteed. For this purpose, the foundation has to appoint exclusively personalities as organs (with the exception of the auditors) of the societies and their subsidiaries and sister societies, who are followers of Jesus Christ and see their calling in their life and actions as the God of the Bible as almighty Popularize creators of the universe. B. Promotion of family cohesion within the family of the founder, the biblical spirit in the family, as well as family values and an awareness of their origins. C. Contribution to the upbringing, training, equipment and business start-ups of the founder's children and their descendants. Support for projects worthy of sponsorship by children of the founder and their descendants to promote vocation, gifts and talents in the sense of letter B. Support for these beneficiaries in special life situations, such as neediness, age, illness, disability and unemployment. D. Promotion of people inside and outside the foundation so that they can discover their gifts and talents and recognize their God-determined calling - and thereby God himself. E. In the spirit of mercy, making contributions to third-party applicants who are in special circumstances. Third party applicants are people whom God places on the heart of the Board of Trustees, but who do not have to be believers. Particular life situations include need, illness, accident or other emergencies. This does not include unemployment, old-age benefits or the like. The support can take the form of livelihood contributions or loans. F. Promote the gospel of the Bible within the foundation. In all activities, the foundation should endeavor to replace egotistical thinking, which first seeks its own advantage, with  thinking from God's standpoint . The foundation is active throughout Switzerland and abroad within the scope of its purpose.
"
"
Katholische Kirchenstiftung St. Martin Meilen ","
The purpose of the foundation is to enable the Roman Catholic Church to carry out worship and pastoral care and all pastoral tasks in the area of the parish of St. Martin Miles, which is defined by canon law, and to enable the Roman Catholic inhabitants of this area to fulfill their religious obligations. The foundation does not pursue profit-making purposes.
"
"
Fondation vaudoise du Patrimoine scolaire ","
maintain, develop and enhance the collection relating to the Vaudois school heritage assembled since 1982 by the Association du Musee de l'Ecole et de l'Education.
"
"
Delli Sport Stiftung ","
The purpose of the foundation is to promote grassroots, young and top-class sports. For this purpose, the foundation can make contributions to clubs, institutions, projects, events, sports facilities and infrastructure projects to promote physical activity, or participate in them, and provide entrepreneurial know-how. The foundation is mainly active in the Basel region and the rest of Switzerland. The foundation has a charitable character and is not profit-oriented. The work of the board of trustees is voluntary. The payment of benefits, in whatever form, to the founder, his family or related persons is excluded. The founder expressly reserves the right to change the purpose of the foundation based on Art. 86a ZGB and in compliance with the statutory requirements.
"
"
 Plastic Recycling Project  ","
Overview of the Project
Green Cities Inc. is a youth based social enterprise operating Liberiaas first waste segregation and recycling center. This center was originally constructed with funding from the Bill and Melinda Gates Foundation in 2012. The goal of Green Cities is to create a clean and green environment through the implementation of a waste value chain. By collecting, processing, and selling waste the local business is creating job opportunities for young people in Liberia. To contribute to a clean environment in Monrovia, Green Cities engages in different projects. 
Green Cities started 2014 to research and pilot on how plastic could be included in the recycling process. In 2015, a plastic crusher and palletizing machine have been purchased for both film plastic such as water bags (LDPE/HDPE) and hard rubber plastic such as gallons (HDPE). Green Cities started to buy collected plastic waste from community dwellers and through this trade gives vulnerable groups of society an opportunity of income. Manually the products were cut and washed before processed further. The new raw material (pellets or crushed plastic) has been sold to local companies to produce new plastic products, instead or as addition to virgin plastic.
Since 2018 the processing was mechanized, diversified, and supplemented with the production of end-products: school materials such as rulers and rubber cups for the rubbercollection industry. The social business will have three ways of income generating: Selling of raw material (pellets or crushed hard plastic), offering services (e.g., washing dirty plastic foils and resell them without further processing), and the selling of end products.
At the same time the implementers are dedicated to professional training and further education of highly qualified recyclist. Also, the publicas awareness must be risen of different target groups such as youth and women from densely populated communities as well as businesses like offices, hotels, restaurants. A special focus lies on school children: With school materials made from recycled plastic they can grasp literally that  waste  has value and can be transformed into something useful. All sensitization workshops focus on the processes of reduce, reuse, and recycle of the different waste materials.
Due to the state of emergency caused by the Corona-Pandemic, the planned project duration must be extended. The focus for the duration 2020 - 2022 are:

Improvement of production and sale of product
Enhancement of storage space & broad awareness / sensitization raising
Training and further education of employees and suppliers in various modules of the recyclist

"
"
Anton Kronenberg-Stiftung ","
Property no. 140, Chruzmatt, GB Dagmersellen, is to remain the property of the foundation and be made available for sporting purposes; for this purpose, building lease agreements and easement agreements can be concluded with the community of Dagmersellen and / or with sports clubs based in Dagmersellen; Property No. 197, Baselstrasse 17, GB Dagmersellen, is to remain the property of the Foundation at all times; Rental of the premises to the community of Dagmersellen, the Catholic and Reformed parishes, local associations or organizations for the following purposes: kindergarten, adult education, club activities, assisted living for young and old, day care center for children; In the absence of suitable uses, the rooms can also be rented to third parties as apartments; permanent guarantee of the location of the well  Die Spinnerin  on property no. 197, GB Dagmersellen; this place should be open to the public; Financial support within the framework of the free funds available for projects in the fields of youth, sport, music and culture.
"
"
Fondazione Aurelio Camani ","
The Foundation aims to make contributions to charity. The following associations are beneficiaries: Sirio Foundation, Mendrisio; OPTIMA, Ticinese Opera della Maternita, Bellinzona section; Ticinese League Against Cancer, Bellinzona; Ticino blind assistance company, Lugano; UNITAS, Association of the Blind of Italian Switzerland, Tenero; Masonic Lodge Il Duty, Lugano.
"
"
Fondazione Ecclesiastica della Parrocchia Cattolica Romana di San Lorenzo Arvigo (Calanca) ","
The Foundation has the purpose of administering the assets it owns, located in the Roman Catholic Parish of San Lorenzo in Arvigo, for the maintenance of the ministry of the parish priest or whoever takes his place.
"
"
maxkunzler.stiftung ","
Support and promotion of charitable and cultural works as well as support of organizations and events whose activities and success serve the interests of the public, operation of youth development and support of direct and indirect help for children and young adults at home and abroad, especially in the education sector or in difficult social conditions, contributes to the promotion of economic development and to safeguarding jobs in Eastern Switzerland (e.g. by granting loans on preferential terms). The foundation can expand its activities to other industries as long as these are in accordance with the aforementioned purpose. It is of a non-profit nature and is not for profit.
"
"
Amiet-Fahnderich-Fonds ","
First of all, the purpose of the fund is, in the event that the funds donated by me for the St. Anna benefice to Solothurn - be it as a result of losses or a fall in the rate of interest or for any other reason - to fulfill the requirements in the deed of foundation dated May 22, 1886 and the services described in the supplement of February 15, 1894 should no longer suffice to fill in the gap, in which case the necessary subsidies should be taken from his income. All taxes that the owner of the St. Anna benefice has to pay from his income are to be paid from this income. In addition, the interest outflow from the Amiet-Fahnderich-Fonds is to be used for the maintenance and decoration of the interior of the St. Ursenkirche in Solothurn, as long as it is preserved for the Roman Catholic cult, for example for altar renovations.
"
"
Fondation Francoise Siegfried-Meier ","
Provide support to organizations or institutions serving exclusively public utility goals and having their headquarters in Switzerland.
"
"
WGA Foundation ","
The purpose of the foundation is to support research, training and practice in the treatment of glaucoma as well as public relations and related activities to promote and improve knowledge and awareness in the medical field. The foundation intends to achieve its goals by promoting communication and collaboration within the global glaucoma community. The foundation pursues neither profit nor self-help purposes, but exclusively charitable purposes.
"
"
Otto Fischbacher Giovanni Segantini-Stiftung ","
To preserve the donated works of art as a closed collection and to make them available to the public as a whole as soon as possible.
"
"
Stiftung InterAid ","
The most sustainable and fair support possible for non-profit, humanitarian projects to improve the living conditions of people affected by poverty in developing countries, regardless of their political, cultural, religious or ideological background. The focus countries are India, Rwanda, Brazil and Pakistan. If appropriate, projects in other countries can also be supported. If possible, we aim to work closely with local organizations. Possible areas of application are building and operating schools, adult education, village development, microfinance, building and operating hospitals, prevention, support for disabled children or other projects with similar goals.
"
"
FONDAZIONE DON FIORENTINO GALLICIOTTI A FAVORE DEI POVERI ","
Aid to the poor; to Catholic missions; to the works that concern the lepers, organized by the Order of St. John of Malta; to the Ticinese Clergy Social Security Society; to other charitable works, especially those of the Parish of Contra. Only income from assets can be used to grant aid.
"
"
Fondation ACHA ","
Protection and enhancement of the cultural and historical heritage in a different way (cf. deed of foundation for complete purpose).
"
"
Fondation Poix-Dubail, Maison St. Joseph ","
Creation of a relief station in favor of the pastoral ministry (Hilfspreisterstation) of the Roman Catholic parishes of the Jura-Bernese region, in the first place of Ajoie. The foundation will put the buildings and furniture: at the disposal of secular priests or religious of its choice, who will have to help in the pastoral care of the parishes; if space permits, to elderly or disabled priests originating from the Jura-Bernois or having served a parish there, or to priests destitute of French nationality; in their absence, to other priests who must belong to the Roman Catholic religion.
"
"
Fondation suisse pour la promotion des echanges et de la mobilite (FPEM) ","
The foundation aims to promote exchanges and mobility at national and international level in training and education, whether in school or out of school. It promotes, depending on the mandates assigned to it, any action likely to encourage and develop exchange and mobility projects and activities. These projects and activities are intended in particular for students, schoolchildren, apprentices and learners, young people in general, but also teachers and staff of training and youth promotion institutions, as well as professionals. She may be assigned tasks related to these goals. The foundation may also, on mandate, function as a national agency to grant contributions aimed at the achievement and execution of the aforementioned goals. Within the framework of the goals set, the foundation works throughout Switzerland and abroad. She can develop and lead national and international projects. The foundation has a public utility character and does not pursue any profit motive and does not aim for any gain.
"
"
Das Wesen der Farben-Stiftung von Eva Schneider-Boog ","
The purpose of the foundation is to view, organize and preserve the artistic work of Eva Schneider-Boog; accommodating the work in suitable rooms; lending works to designated interested parties; the creation of a general index of all artistic works, as far as possible; the organization of exhibitions, alone or with reference to works by other visual artists that are seen in relation to these works; the financial support of other non-profit anthroposophical institutions, in particular the Rudolf Steiner estate, insofar as the foundation's assets allow. The purpose of the foundation is neither commercial nor self-help.
"
"
Stiftung fur Rechtsausbildung ","
Education and training for lawyers, lawyers, judges, etc., especially for legal trainees in central Switzerland; Arranging and conducting of legal courses; Carrying out any other activity that serves legal education and training.
"
"
Fondation Jean Piaget pour recherches psychologiques et epistemologiques ","
Encourage, develop, promote and finance scientific work and research in the field of genetic ethology, psychology and epistemology; coordinate the activities of other institutions pursuing a similar goal, and promote the exchange of ideas and scientific and cultural information.
"
"
Michelangelo Foundation for Creativity & Craftsmanship ","
Preservation, protection, promotion and support of arts, crafts, crafts, design, creativity, surrounding trades and culture (cf. deed of foundation for complete purpose).
"
"
Stiftung Mutterhilfe ","
The purpose of the foundation is to support mothers and fathers, their partners and people in the extended family system during pregnancy, childbirth and the early childhood phase throughout Switzerland. The foundation can carry out all actions and dispositions necessary to achieve its purpose, in particular buying, selling, renting, leasing and managing real estate. The Foundation for Mothers' Aid does not pursue any commercial purposes and does not seek any profit. The board of trustees can issue foundation regulations that define the activities of the foundation within the framework of the statutory purpose. The Board of Trustees also has the power to amend. [previously: The purpose of the foundation is to support mothers and fathers, their partners and people in the extended family system during pregnancy, childbirth and the early childhood phase throughout Switzerland. The foundation can carry out all actions and dispositions necessary to achieve its purpose, in particular buying, selling, renting, leasing and managing real estate. The Foundation for Mothers' Aid does not pursue any commercial purposes and does not seek any profit. The board of trustees can issue foundation regulations that define the activities of the foundation within the scope of the statutory purpose.]
"
"
ANNUNTIATA-STIFTUNG ","
The purpose of the foundation is the operation of the Swiss Youth and Education Center Einsiedeln with the youth houses, the pilgrim house and the house chapel as well as the management of the attached hotel wing with seminar rooms, both in the ecclesiastical interest of Christian values and subject to the ecclesiastical supervision by the respective bishop of the diocese in whose area is the foundation's seat, currently the Diocese of Chur. The foundation serves youth and adult education and has a non-profit character. The beneficiaries of the foundation have eo ipso no legal claim to the foundation's assets.
"
"
Interpreten-Hilfsfonds des Schweizerischen Verbandes des Personals offentlicher Dienste (VPOD) ","
Funding of actions and measures to prevent technological unemployment among the performing artists' groups affiliated to the VPOD; etc.
"
"
Maison des Oeuvres de Courfaivre ","
Provide the parish of Courfaivre with a large room for parish works, open to parish societies, children's schools, the Municipality and the population of Courfaivre, for all events that do not oppose the religious and Catholic character of the House of works of Courfaivre.
"
"
Stiftung Marie-Lou Ringgenberg ","
In the public interest of Switzerland, the canton and the city of Bern, the foundation pursues the following non-profit purposes: The financing and maintenance of historically valuable buildings in the old town of Bern and parks in the city of Bern. Contributions to the Dahlholzli zoo and the Bern Botanical Garden Foundation or to the City of Bern to promote the Bern Botanical Garden. The benefits of contributions to the promotion of the voluntary fire brigade of the city of Bern. Contributions to tax-exempt, non-profit institutions in the fields of culture, education (especially training in construction-related industries), medicine (especially tumor research and cardiology) and welfare, as well as to individuals who have performed outstandingly in these areas. The promotion of medical research and its application and the promotion of medical rehabilitation. The promotion of projects that make aging worth living, including support for people with dementia and the development of new forms of housing and care for people with dementia. The foundation can also make contributions to the costs of sick and / or elderly people. Improving the living conditions and perspectives of children and families in difficult situations. The foundation supports the co-financing of urgent medical treatments and the education of children from such families. Promotion of projects for sustainable nature and animal protection, in particular training, education and therapy for children and young people. The foundation can acquire, sell and manage real estate and land as well as participations in Germany as part of its purpose. The foundation is of a non-profit nature and does not pursue any profit-making purpose.
"
"
Fondation Vevey, Ville d'images ","
the foundation pursues a goal of public interest by contributing to the promotion and the cultural and economic development of the region in the field of image and visual communication. Its fundamental task, through the organization of events, competitions, forums and other cultural actions and cultural mediation, is the creation of a breeding ground for the establishment of new economic activities as well as the contribution to the influence of the Vevey label, city of images in Switzerland and abroad. Its mission is complementary to that of other cultural institutions, tourist offices, economic promotion organizations and professional associations with which it is called upon to collaborate. To achieve its objectives, the foundation will deploy fundraising activities, search for partners and sponsors.
"
"
St. Fridolins-Kapelle in Muhlehorn ","
To enable the Roman Catholic Church to exercise worship and pastoral care in the area of the municipality of Muhlehorn and the Kerenzerberg, as well as to enable the residents of this area to fulfill their ecclesiastical and religious duties.
"
"
Fondation LES ADONIS ","
Undertake any approach aimed at helping the elderly and those with social needs in the Municipality of Charrat and the surrounding area; its particular mission is to welcome these people by building an EMS, by entrusting its operation to a company aiming at the same goals, or failing such a company, by operating such a structure itself; it generally contributes to the well-being of people residing in the EMS  LES ADONIS  and within the future reception structures of the Municipality (see statutes for complete purpose)
"
"
Alice und Louis Koch-Stiftung ","
The purpose of the non-profit foundation is to take over, maintain and expand the culturally and historically significant ring collection from Alice and Louis Koch. It makes the collection accessible to the public, in particular through loans to museums. The foundation can also make the collection available for academic work. The founder has the right to donate additional rings to the foundation. The foundation is not authorized to sell the collection or individual exhibits from it. However, it is authorized to transfer the collection or individual exhibits from it free of charge to a museum or other suitable institution based in Switzerland, preferably the Swiss National Museum, National Museum Zurich. The foundation can also be active in other areas of art and culture. It can acquire or receive collections, pictures and other works of art and make them accessible to the public in a suitable manner, for example through loans or donations to museums or other suitable institutions. The foundation does not pursue profit-making or self-help purposes.
"
"
Fondation pour une ecole de theatre ","
ensure the establishment and then run a theatrical training center in Martigny; to this end, to organize courses, seminars and shows, without limitation of genres, open to the population of Valais; to contribute in general to cultural development
"
"
Fondation Heinrich Maria et Jane LEDIG-ROWOHLT ","
manage the Chateau de Lavigny, make it available to various associations in Vaud or Switzerland, to organize cultural activities, such as concerts, artistic exhibitions, literary conferences and to do so for writers and translators of all languages, both Swiss and foreigners, a place to welcome and stay that facilitates their work as well as cultural exchanges, especially with the local population.
"
"
Fondation Varto ","
The purpose of the foundation is to promote, develop and support the public interests of the city of Varto, in Turkey, in particular in the fields of the economy and the social in collaboration with the City of Varto, that is to say: - develop the existing agriculture under socio-economic aspects; - promote and develop infrastructure (for example: asphalt roads, public transport, energy resources, etc.); - create a section of the  Varto Foundation  which organizes and works with the Varto authorities; - provide residents with training and professional activities to avoid emigration to Europe, in particular by installing a water bottling plant under earthquake-resistant conditions; - support the cultural heritage of Varto, in particular through research on the travels of Baron d'Aubonne, Jean-Baptiste Tavernier (1605-1689), to Erzincan, Erzurum, Varto and Erivan as well as his journey in the East, and by the opening of an annual festival as well as a house (museum, theater, etc.)  Tavernier , in Aubonne (Vaud); - support archaeological research, the exploitation of archaeological sites and the opening of a museum; - obtain credits for small projects and grant scholarships for young students; - help and support homes for single women, young disabled people and retirees returning from Europe, as well as the creation of a Foundation hospital; - promote the exchange of international meetings; - promote and develop tourism and travel in the Varto region, without related economic activity; - participate and support associations and foundations in Turkey with a similar goal. The foundation may also carry out all operations relating to the achievement of its goal.
"
"
Fondation SURGIR ","
the foundation pursues exclusively a goal of public interest. The foundation aims to defend and help girls as well as women and their children who are victims of all forms of physical, psychological, sexual and social violence. It aims in particular to: Search for women subject to criminal traditions, Rescue them in their country or welcome them abroad if necessary, Support them, care for them and offer them prospects for the future, Alert human society to their condition , Combat the injustice of which they are victims by all possible means on the national and international level. The foundation does not pursue any economic purpose.
"
"
Stiftung Herberge zum kleinen Gluck ","
The purpose of the foundation is to support people with mental, age-related, psychological or physical disabilities by acquiring one or more suitable properties with a change and making them available to the non-profit  Herberge zum kleine Gluck  association or a non-profit successor organization for the operation of a Holiday hostel with holiday and relief stays and / or stationary stays. The foundation has a charitable character, is politically and denominationally neutral, is not for profit and does not pursue any commercial purposes.
"
"
Stiftung WISOTINA ","
Support of: Actions that promote the appropriate handling of domestic and farm animals, dog and cat shelters, animal ambulances, animal welfare and nature conservation projects, actions that combat unworthy slaughtered cattle transports in Europe.
"
"
Stiftung SAPA, Schweizer Archiv der Darstellenden Kunste ","
The foundation is responsible for the preservation of the cultural heritage in the field of dance and theater in Switzerland in all its forms. It collects, documents, archives and mediates documents on dance and theater that are primarily related to Switzerland (Helvetica) or are important for Switzerland and makes them accessible for use. In this sense, the foundation sees itself as an institution in the service of science, research and teaching as well as cultural creation and the communication of dance and theater culture for the general public. The foundation works with relevant institutions (such as universities, technical colleges, archives, etc.) in Germany and abroad. The foundation will find a sustainable solution for object collections that takes the value of the objects into account. The foundation does not pursue any commercial purposes and does not seek any profit.
"
"
Stiftung Edith und Helmut Steiner ","
In memory of Edith and Helmut Steiner, the purpose of the foundation is to provide charitable help to threatened or persecuted Jews of any origin at home and abroad and to raise and use the necessary funds for this purpose. The foundation can also take or support measures against the threat and persecution of Jews. In its activities, the foundation appropriately and up-to-date takes into account Helmut Steiner's founding letter dated August 12, 1989. A copy of this donor letter is attached to this document. The Board of Trustees should be and remain free in the choice of persons and/or organizations to be supported. The board of trustees, free from instructions, only vote according to their conscience in accordance with the intentions of the founder's letter. The foundation has a non-profit character and does not pursue any profit-making purpose.
"
"
Gemeinnutzige Stiftung Schweizersbild ","
Promotion of the handball sport of young people and the non-profit support of the next generation of handball players by providing financial means for the search and provision of suitable infrastructures, schools, study places, apprenticeships and jobs.
"
"
Fondazione culture e musei ","
The Culture and Museums Foundation ensures the functioning of museums and cultural organizations on the basis of performance mandates. It provides for the protection, conservation, restoration, management, enhancement and increase of the permanent collections of works of art and material culture, archival and book assets and any other kind of cultural property received or acquired for any title. The Foundation promotes and implements a usual collaboration relationship with institutions of scientific, academic, educational and museum importance, also in order to create networks, groups and consortia capable of proposing current activities (ordinary activities) and projects (extraordinary activities) of national and international interest. The Foundation may carry out any other activity suitable for the pursuit of its purposes, such as stipulating agreements or contracts of any nature and duration with public bodies or private entities, including the taking out of mortgages or loans, the purchase of property or property rights. surface, the purchase of capital goods or services, the assumption of mandates and the provision of services and works related, similar or otherwise connected to its aims and cultural purposes. The Foundation may participate, also as a founder, in consortia, committees and, more generally, in public or private organizations that pursue purposes similar to its own. The Foundation may also participate in joint stock companies that carry out activities aimed at pursuing the statutory activities of the Foundation and institute awards and scholarships. The Foundation is not for profit, does not pursue any gain and works to promote public utility.
"
"
Institute for Comparative Ceremonial Studies ","
The purpose of the foundation is to promote research into the rites and ceremonies of the various peoples or cultures of the earth, such as the Hopi Indians, and to preserve all kinds of witnesses in these areas. The foundation is independent and politically neutral in every other respect. She does not seek profit. It fulfills its purpose in the interests of the Canton of Zurich and / or Switzerland.
"
"
GASSER CERAMIC AG ","
The purpose of the company is to hold and manage investments in domestic and foreign companies. The company can carry out all commercial, financial and other activities related to the purpose of the company. The company can set up branches, participate in other companies at home and abroad, acquire similar or related companies or merge with them, acquire or resell real estate and enter into all transactions and conclude contracts that are suitable for promoting the purpose of the company or that are directly or indirectly related to it.
"
"
Fondation Maison Peinte ","
Renovation, management and maintenance of the building called  La Maison Peinte , in Botyre, commune of Ayent
"
"
Fondation Solidar-Immun ","
Promote and support medical research in the field of cancer. The founders expressly reserve the right to have the goal modified by the supervisory authority, in application of article 86a CC.
"
"
Stiftung Alberich Zwyssig in Liquidation ","
In memory of the Wettinger monk Alberich Zwyssig, the purpose of the foundation is to promote the meeting of the population of Wettingen in church and cultural organizations or in free get-togethers and to support non-profit institutions.
"
"
Swisslos-Sportfonds Kanton Zurich ","
The sports sponsorship of the Canton of Zurich is financially involved in various areas of sporting life within the Canton of Zurich. Funding is given for sports events, projects, etc.
"
"
Moos-Flury-Stiftung ","
To preserve the art collection as a whole and to make it accessible to the public in a suitable form.
"
"
Stiftung des Rotary Club Solothurn ","
Promotion of public or charitable endeavors, in particular helping people in need or distress at home and abroad; hosting scholarships and supporting young people's career goals; promoting cultural endeavors.
"
"
Josef Oberle-Gedachtnisstiftung ","
To use the proceeds of the foundation's assets to aid the training and further education of needy people who live in Riehen or have a parent residing in Riehen or are citizens of Riehen. Additional contributions to upbringing and maintenance can be paid to people in training and further education who live in Riehen themselves. The denomination should in principle not play a role. The foundation can provide grants and loans under this provision. The foundation can also grant aid to respectable families who are innocently in need and who live in one of the properties at Niederholzstrasse 64, 66 and 68.
"
"
Lanz-Anliker-Stiftung ","
The purpose of the foundation is to provide financial support to non-profit institutions domiciled in Germany and abroad, in particular to provide financial support to the Bethesda retirement and nursing home in Cluj (Romania). In addition to this, the foundation aims to provide financial support for non-profit, tax-exempt institutions in the charitable, humanitarian, health-promoting, ecological, educational, scientific or cultural area, in particular the impuls for gsungs Lanke foundation, Ursenbach, the patient welfare foundation of the Siloah foundation and the Biblos foundation, Cluj (Romania). The foundation can also provide disaster relief in Germany and abroad and provide financial aid to storm victims. The foundation is active both nationally and internationally within the scope of its purpose. The foundation's profit and capital are dedicated exclusively to the aforementioned purpose. Commercial purposes are excluded.
"
"
Fondation SHUIFU ","
The purpose of the foundation, mainly in Geneva, is to make special allowances available to victims of personal injury, including in particular victims of road accidents requiring significant treatment. The foundation has no profit motive nor any political, denominational or governmental character.
"
"
Ahoj Festival ","
The Ahoj Festival opens its doors for the fourth time. This year the festival got a new coat. The Czech Ahoj is equivalent to a Swiss Hoi. The Ahoj Festival is a bridge between the two cultures and brings both countries closer through the cultural program. Whether Hoi or Ahoj remains undecided, this is about enjoying art and culture and a
shared joy!
The Ahoj Festival offers a wide cultural offer of literature, music and theatrical art, which is presented by well-known Czech artists. The program is offered in two languages and is therefore aimed at a broad audience of all generations and will take place in different cultural scenes in the canton of Zurich. The ambassador from Bern will open our festival.
This year's program consists of several author's readings by the writer Alena Mornstajnova, an art workshop by the illustrator Renata Fuaa­kova, theatrical performances by the theater group Mikro-teatro  A Vortex and Infinity  for adults and  Gloria  and  Madremonte  for children, as well as a band concert  Yellow Sisters .
The program extends over several days 1.-4. September 2022 and is suitable for all ages, from children to the elderly.
"
"
Familie Brupbacher-Isler-Stiftung ","
Support of needy and distressed Protestant co-religionists with a bourgeois disposition and an innocent way of life in accordance with the detailed provisions set out in the foundation deed.
"
"
Fondation vaudoise contre l'alcoolisme ","
the Foundation, a key player in the canton, pursues the following goals: to develop and conduct programs to prevent and reduce the risks associated with alcohol consumption; develop and provide outpatient socio-therapeutic support services to people in difficulty with their alcohol consumption and their relatives, in particular by collaborating with the network of establishments for adults; implement all the means or actions that its board deems appropriate to achieve its objectives.
"
"
Fondation des Soeurs de Saint-Joseph ","
Support for the congregation of the Sisters of Champagnole established in France and Switzerland; the foundation also supports the underprivileged and disadvantaged people; the foundation will also be able to collaborate in projects pursuing the same goal as well as seek funding to achieve these goals
"
"
Jakob Wildi-Stiftung ","
The purpose of the foundation is to make donations to institutions, associations etc. for the benefit of the general public, especially in the community of Suhr. The following organizations or their successor organizations must be taken into account: In the community of Suhr: CEVI Suhr (Reformed Youth Organization), Suhr Music Society, Suhr-Hunzenschwil Reformed Church Choir, Suhr-Hunzenschwil Reformed Church Community, Suhr Samaritan Association or Aargau-West, Suhr School, Spitex Suhr , Sportverein Suhr (STV), outside the municipality of Suhr: Aargauischer Tierschutzverein Ats and Pro Natura Switzerland. If it is not possible to make donations to these organizations, the Board of Trustees can consider other organizations on a subsidiary basis in the interests of the founder or, if the funds allow, make future donations to organizations that serve the common good, especially in the community of Suhr. The annual donations that are not used or only partially used for whatever reason are part of the foundation's assets and may not be drawn on later. Due to the earnings situation of the assets, the Board of Trustees can decide not to make any distributions.
"
"
Mhylab - Fondation du Laboratoire de Mini-hydraulique de Montcherand ","
The purpose of the foundation is to study and experiment with the decentralized production of hydroelectric energy, and more particularly to develop the technique of small hydraulic turbines; for this purpose, it will build and operate an experimental research center on the premises of the Montcherand hydroelectric power station, owned by Romande Energie SA.
"
"
Stiftung Pferdegestutzte Therapie Wil ","
The foundation enables, promotes and supports horse-assisted therapies at a high quality level for people with special needs on a non-profit basis and without the intention of making a profit. It can also support therapies with other animal species. In addition, the foundation aims to achieve its charitable foundation purpose or is responsible for promoting the training and further education of therapists; that the welfare and training of the therapy horses is guaranteed; that compliance with safety standards is guaranteed; that in the case of needy or less well-off persons, payment for the therapy services provided is partially or completely waived; that their activities are also extended to other disabled areas with a non-profit character and that public relations work is carried out, insofar as this is in accordance with the general purpose of the foundation. The orientation of the therapy and support services is not bound by any restrictions with regard to religion, race or geography.
"
"
Fondation Andre Lechot ","
The purpose of the foundation is the conservation of the unique collection of small watchmaking machines constituted by Mr. Andre Lechot, in particular the avoidance of its decomposition and its expatriation, its management, its maintenance and its complement with other machines, tools. or exhibition objects supporting its spirit, as well as to present it to the public mainly in the region of Biel / Bienne / Seeland / Bernese Jura within the framework of museums, exhibitions and others and to organize events and all related activities . It can cooperate with authorities and other institutions active in the same field.
"
"
Hirschmann-Stiftung ","
Granting of contributions to the professional training and further education of talented adolescents and young adults as well as their support in general, distribution of contributions to scientific research and the promotion of science in general as well as care for people in need of support in cases of old age, death, illness, accident, disability , Unemployment or through no fault of their own
"
"
Stiftung Acherhof ","
The purpose of the foundation is to run a center for the third phase of life (retirement and nursing home, living arrangements 60+, department for dementia sufferers, etc.) under the following guiding principle: To offer healthy people and those in need of care the support and services for body, mind and soul that help them everyday life, dealing sensibly with illness and old age and trustingly accepting dying as part of earthly life. This in the spirit of St. Francis of Assisi  ... and if one of them falls ill, the other brothers must serve him as they want to be served . The foundation can participate with real estate and / or capital, for the creation and management of residential types 60+ or mixed living (old and young) and also offer services for this. The foundation can also create and operate such forms of living outside the retirement center itself. The foundation may not be transferred to a state or municipal enterprise. A sale of real estate is possible if the sales proceeds are used to fulfill the purpose of the foundation. The foundation can support cross-generational service projects of a cultural, social and health-related nature on the site and its properties.
"
"
Bertha und Leo Speck-Stiftung ","
Funding at the Zug Cantonal Hospital for training and further education in the field of health care and the promotion of the next generation of nursing staff as well as at retirement or nursing homes operated by the Zug community, provided that the costs of training and further education are not covered by the public sector.
"
"
Privatdozenten-Stiftung ","
To give private lecturers at the University of Zurich the opportunity to complete a scientific work by granting scholarships and thereby pave the way for them to take on professorships.
"
"
Stiftung Elektra Bozen ","
The purpose of the foundation is to promote sustainable (i.e. ecologically sensible and/or permanent), social, cultural and energetic measures and activities for the population of the municipality of Bozen and the municipality of Boztal.
"
"
Stiftung fur den Betrieb eines christlichen Vereinshauses ","
Operation of a Christian clubhouse with a public reading and writing room and meeting room
"
"
Fondation MeDAILLE ","
Provide financial support to communities and institutions whose mission is, in particular: to provide, without geographical limits, spiritual and material humanitarian aid to people deprived of the necessary means; to educate young people in training and thus contribute to their development while giving priority to the essential qualitative aspects of educational principles; to provide care to the sick and disabled in need, in particular by setting up medical branches and dispensaries in disadvantaged regions; to provide the elderly with a presence of comfort and spiritual accompaniment; to work for the advancement of women, particularly in countries subject to systems leading to inequalities and enslavement; finally, in a general way, to meet the essential needs dictated by the places, the times and the evolution of the circumstances (cf. statutes for complete goal).
"
"
Hollgrotten Baar ","
The purpose is to preserve the Schmid family's Hollgrotten and to use the operating surpluses to train needy descendants of the founders in the male line and to support those who live in poverty through no fault of their own
"
"
Stiftung  Hilfe fur Mutter und Kind  ","
Help for mother and child, especially through financial contributions.
"
